Sl No,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type
59,0.82070711,0.367103999,LgB,Testing,0.720037942,0.59032142,LgB,Testing,0.983972782,0.244895625,LgB,Testing,0.997811752,0.021912688,LgB,Testing
60,0.822960864,0.397619607,LgB,Testing,0.746099918,0.454476332,LgB,Testing,0.980978412,0.278420536,LgB,Testing,0.998311259,0.019023186,LgB,Testing
121,0.999655755,0.020018033,XgB,Training,0.993477348,0.075419155,XgB,Training,0.999516054,0.044207664,XgB,Training,0.999966689,0.002630829,XgB,Training
122,0.999687634,0.019367824,XgB,Training,0.994051396,0.071582558,XgB,Training,0.999534228,0.043112039,XgB,Training,0.999964497,0.002681288,XgB,Training
123,0.99955132,0.023360259,XgB,Training,0.993310596,0.081320523,XgB,Training,0.999370419,0.050265556,XgB,Training,0.999961698,0.002881392,XgB,Training
124,0.999682233,0.018967017,XgB,Training,0.993429846,0.078247817,XgB,Training,0.999545516,0.042654322,XgB,Training,0.999959778,0.002890207,XgB,Training
125,0.999644952,0.020085465,XgB,Training,0.993703452,0.076809676,XgB,Training,0.999524296,0.043538242,XgB,Training,0.999966812,0.002620904,XgB,Training
126,0.999494157,0.02370994,XgB,Training,0.992524824,0.08197087,XgB,Training,0.999500662,0.044818644,XgB,Training,0.999965077,0.002678707,XgB,Training
127,0.999689189,0.017953198,XgB,Training,0.991700978,0.084865084,XgB,Training,0.99954216,0.042942967,XgB,Training,0.999958995,0.002951248,XgB,Training
128,0.999541699,0.022703286,XgB,Training,0.994158908,0.075627827,XgB,Training,0.999468795,0.046128909,XgB,Training,0.999967917,0.002598518,XgB,Training
129,0.999629775,0.020696956,XgB,Training,0.994265913,0.075517977,XgB,Training,0.999365219,0.050558912,XgB,Training,0.999966754,0.002665557,XgB,Training
130,0.999623062,0.020308214,XgB,Training,0.992736075,0.082685036,XgB,Training,0.999543196,0.043031493,XgB,Training,0.999964414,0.002744299,XgB,Training
131,0.999712038,0.017586638,XgB,Training,0.993085202,0.080501066,XgB,Training,0.999447308,0.047135956,XgB,Training,0.999968273,0.002591466,XgB,Training
132,0.999684587,0.018982139,XgB,Training,0.993010362,0.083170771,XgB,Training,0.999532084,0.043283217,XgB,Training,0.999967411,0.002628756,XgB,Training
133,0.999633324,0.020116066,XgB,Training,0.994253629,0.075323776,XgB,Training,0.999444307,0.047804216,XgB,Training,0.9999637,0.002806583,XgB,Training
134,0.999641745,0.019311958,XgB,Training,0.992429493,0.08099356,XgB,Training,0.999553807,0.042205755,XgB,Training,0.999964651,0.002722531,XgB,Training
135,0.999663614,0.01988487,XgB,Training,0.993118973,0.077102316,XgB,Training,0.999457816,0.046334153,XgB,Training,0.999965251,0.002702302,XgB,Training
136,0.999710675,0.017043054,XgB,Training,0.992998362,0.083252641,XgB,Training,0.999482851,0.045460975,XgB,Training,0.999968275,0.002602185,XgB,Training
137,0.999710675,0.017043054,XgB,Training,0.994110304,0.076591838,XgB,Training,0.999415942,0.04864847,XgB,Training,0.999965808,0.002675035,XgB,Training
138,0.999569563,0.021391572,XgB,Training,0.992809634,0.081864803,XgB,Training,0.999516905,0.044190115,XgB,Training,0.999967031,0.002653249,XgB,Training
139,0.999640781,0.019887091,XgB,Training,0.994213365,0.074403754,XgB,Training,0.999386554,0.049569181,XgB,Training,0.999962508,0.002835018,XgB,Training
140,0.99951748,0.022848613,XgB,Training,0.993435772,0.075779637,XgB,Training,0.999515838,0.043682306,XgB,Training,0.999961471,0.002805279,XgB,Training
141,0.999657925,0.019984676,XgB,Training,0.992638379,0.085756213,XgB,Training,0.999453189,0.04630811,XgB,Training,0.999969883,0.002556166,XgB,Training
142,0.999504604,0.022733452,XgB,Training,0.993595968,0.078120514,XgB,Training,0.999496593,0.044816051,XgB,Training,0.999968107,0.00260748,XgB,Training
143,0.999754654,0.016234084,XgB,Training,0.993005622,0.080851014,XgB,Training,0.999528031,0.043667726,XgB,Training,0.999964922,0.002752798,XgB,Training
144,0.999589676,0.021587192,XgB,Training,0.99298105,0.082262802,XgB,Training,0.999560561,0.042164146,XgB,Training,0.999956719,0.002980982,XgB,Training
145,0.999589493,0.021722023,XgB,Training,0.993708518,0.07749967,XgB,Training,0.99954821,0.042410848,XgB,Training,0.999962487,0.002791005,XgB,Training
146,0.999706078,0.017258656,XgB,Training,0.993736002,0.077925572,XgB,Training,0.99953965,0.042997549,XgB,Training,0.999961752,0.002823859,XgB,Training
147,0.999598522,0.020678885,XgB,Training,0.991981261,0.087339959,XgB,Training,0.99946717,0.045945069,XgB,Training,0.999955651,0.003015415,XgB,Training
148,0.999628954,0.020766788,XgB,Training,0.994474044,0.071069191,XgB,Training,0.999443136,0.046947178,XgB,Training,0.999963896,0.002742951,XgB,Training
149,0.999732764,0.017924521,XgB,Training,0.993111958,0.075638409,XgB,Training,0.999459263,0.046999763,XgB,Training,0.999964856,0.002700115,XgB,Training
150,0.999606915,0.021303261,XgB,Training,0.993375662,0.080472017,XgB,Training,0.999462586,0.046199922,XgB,Training,0.999954055,0.003100486,XgB,Training
151,0.654235968,0.545948252,XgB,Testing,0.691445159,0.589020975,XgB,Testing,0.982077517,0.264095278,XgB,Testing,0.998228499,0.019681112,XgB,Testing
152,0.868946298,0.314846136,XgB,Testing,0.617841371,0.664779836,XgB,Testing,0.984189088,0.252456883,XgB,Testing,0.997323504,0.024950755,XgB,Testing
153,0.829808364,0.344760206,XgB,Testing,0.689949782,0.491923679,XgB,Testing,0.98366535,0.254273337,XgB,Testing,0.998185813,0.018643741,XgB,Testing
154,0.78490964,0.45506193,XgB,Testing,0.737864258,0.499127005,XgB,Testing,0.982302188,0.265969164,XgB,Testing,0.997244167,0.0245645,XgB,Testing
155,0.784460224,0.452568991,XgB,Testing,0.704377268,0.525844417,XgB,Testing,0.984310227,0.252125034,XgB,Testing,0.998164358,0.020137733,XgB,Testing
156,0.837908338,0.407631699,XgB,Testing,0.698183721,0.562842936,XgB,Testing,0.986392312,0.231440318,XgB,Testing,0.996953409,0.0261988,XgB,Testing
157,0.767257235,0.538962129,XgB,Testing,0.673665935,0.61069076,XgB,Testing,0.984630764,0.245542713,XgB,Testing,0.997528195,0.02249686,XgB,Testing
158,0.750390485,0.495852852,XgB,Testing,0.694761999,0.496812682,XgB,Testing,0.98401608,0.252341921,XgB,Testing,0.996635992,0.026617292,XgB,Testing
159,0.846099264,0.369162221,XgB,Testing,0.692525212,0.484098728,XgB,Testing,0.986916156,0.226520026,XgB,Testing,0.997108999,0.024091597,XgB,Testing
160,0.771290819,0.496206262,XgB,Testing,0.755167633,0.475272028,XgB,Testing,0.986833001,0.224739184,XgB,Testing,0.998773213,0.015938288,XgB,Testing
161,0.830949701,0.438404356,XgB,Testing,0.760656628,0.47228035,XgB,Testing,0.985649244,0.237979954,XgB,Testing,0.996298977,0.027676542,XgB,Testing
162,0.763489034,0.46949235,XgB,Testing,0.764194246,0.428081401,XgB,Testing,0.983885587,0.253723279,XgB,Testing,0.996415099,0.027163801,XgB,Testing
163,0.836749734,0.413431656,XgB,Testing,0.677211999,0.502938666,XgB,Testing,0.982815108,0.250495125,XgB,Testing,0.998181929,0.018605928,XgB,Testing
164,0.72129077,0.586428291,XgB,Testing,0.720123392,0.566181599,XgB,Testing,0.984696118,0.247818575,XgB,Testing,0.996446951,0.027505813,XgB,Testing
165,0.831273362,0.374404022,XgB,Testing,0.731479583,0.55596929,XgB,Testing,0.981189462,0.27864944,XgB,Testing,0.996414441,0.027541181,XgB,Testing
166,0.698598153,0.63714353,XgB,Testing,0.690472501,0.489929438,XgB,Testing,0.985846832,0.238426037,XgB,Testing,0.997421899,0.02280135,XgB,Testing
167,0.698598153,0.63714353,XgB,Testing,0.677291884,0.494488942,XgB,Testing,0.970188418,0.338758219,XgB,Testing,0.998040209,0.020479265,XgB,Testing
168,0.792651339,0.492504613,XgB,Testing,0.742568391,0.494462892,XgB,Testing,0.979766125,0.280191445,XgB,Testing,0.998033716,0.019891065,XgB,Testing
169,0.860362529,0.384008964,XgB,Testing,0.716014561,0.49881582,XgB,Testing,0.983046553,0.260105204,XgB,Testing,0.996792262,0.025238113,XgB,Testing
170,0.83805457,0.42461434,XgB,Testing,0.665964933,0.611250279,XgB,Testing,0.986275487,0.239489667,XgB,Testing,0.998526493,0.018352118,XgB,Testing
171,0.818380065,0.393598227,XgB,Testing,0.750280248,0.430905095,XgB,Testing,0.986404864,0.239725917,XgB,Testing,0.997478266,0.02191987,XgB,Testing
172,0.825835165,0.462742748,XgB,Testing,0.734268558,0.485305617,XgB,Testing,0.982903222,0.262728718,XgB,Testing,0.997549812,0.022265736,XgB,Testing
173,0.769690045,0.511628135,XgB,Testing,0.729584248,0.504811182,XgB,Testing,0.983035639,0.256739175,XgB,Testing,0.997629217,0.02141855,XgB,Testing
174,0.816139228,0.418379873,XgB,Testing,0.612468368,0.575200484,XgB,Testing,0.967327364,0.355091583,XgB,Testing,0.99738083,0.024311496,XgB,Testing
175,0.728345968,0.497040169,XgB,Testing,0.748954601,0.470279825,XgB,Testing,0.984104431,0.254116682,XgB,Testing,0.998205435,0.019815024,XgB,Testing
